          Graph File     Compromise Time            Hop Time         Start Point     Num Compromised             % Alive
   Graphs/graph0.txt            1.000000            1.000000                  46                   1           99.074074
   Graphs/graph0.txt            1.000000            1.000000                  47                   4           96.296296
   Graphs/graph0.txt            1.000000            1.000000                  47                   4           96.296296
   Graphs/graph0.txt            1.000000            1.000000                  48                  78           27.777778
   Graphs/graph0.txt            1.000000            1.000000                  48                  78           27.777778
   Graphs/graph0.txt            1.000000            1.000000                  49                  73           32.407407
   Graphs/graph0.txt            1.000000            1.000000                  49                  73           32.407407
   Graphs/graph0.txt            1.000000            1.000000                  50                  60           44.444444
   Graphs/graph0.txt            1.000000            1.000000                  50                  60           44.444444
   Graphs/graph0.txt            1.000000            1.000000                  51                  76           29.629630
   Graphs/graph0.txt            1.000000            1.000000                  51                  76           29.629630
   Graphs/graph0.txt            2.000000            1.000000                   0                 108            0.000000
   Graphs/graph0.txt            2.000000            1.000000                   0                 108            0.000000
   Graphs/graph0.txt            2.000000            1.000000                   1                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                   1                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                   2                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                   2                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                   3                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                   3                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                   4                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                   4                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                   5                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                   5                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                   6                   4           96.296296
   Graphs/graph0.txt            2.000000            1.000000                   6                   4           96.296296
   Graphs/graph0.txt            2.000000            1.000000                   7                   6           94.444444
   Graphs/graph0.txt            2.000000            1.000000                   7                   6           94.444444
   Graphs/graph0.txt            2.000000            1.000000                   8                   9           91.666667
   Graphs/graph0.txt            2.000000            1.000000                   8                   9           91.666667
   Graphs/graph0.txt            2.000000            1.000000                   9                  13           87.962963
   Graphs/graph0.txt            2.000000            1.000000                   9                  13           87.962963
   Graphs/graph0.txt            2.000000            1.000000                  10                  14           87.037037
   Graphs/graph0.txt            2.000000            1.000000                  10                  14           87.037037
   Graphs/graph0.txt            2.000000            1.000000                  11                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  11                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  12                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  12                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  13                  15           86.111111
   Graphs/graph0.txt            2.000000            1.000000                  13                  15           86.111111
   Graphs/graph0.txt            2.000000            1.000000                  14                   5           95.370370
   Graphs/graph0.txt            2.000000            1.000000                  14                   5           95.370370
   Graphs/graph0.txt            2.000000            1.000000                  15                   2           98.148148
   Graphs/graph0.txt            2.000000            1.000000                  15                   2           98.148148
   Graphs/graph0.txt            2.000000            1.000000                  16                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  16                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  17                  29           73.148148
   Graphs/graph0.txt            2.000000            1.000000                  17                  29           73.148148
   Graphs/graph0.txt            2.000000            1.000000                  18                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  18                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  19                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                  19                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                  20                  11           89.814815
   Graphs/graph0.txt            2.000000            1.000000                  20                  11           89.814815
   Graphs/graph0.txt            2.000000            1.000000                  21                   4           96.296296
   Graphs/graph0.txt            2.000000            1.000000                  21                   4           96.296296
   Graphs/graph0.txt            2.000000            1.000000                  22                   5           95.370370
   Graphs/graph0.txt            2.000000            1.000000                  22                   5           95.370370
   Graphs/graph0.txt            2.000000            1.000000                  23                   2           98.148148
   Graphs/graph0.txt            2.000000            1.000000                  23                   2           98.148148
   Graphs/graph0.txt            2.000000            1.000000                  24                   5           95.370370
   Graphs/graph0.txt            2.000000            1.000000                  24                   5           95.370370
   Graphs/graph0.txt            2.000000            1.000000                  25                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  25                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  26                  12           88.888889
   Graphs/graph0.txt            2.000000            1.000000                  26                  12           88.888889
   Graphs/graph0.txt            2.000000            1.000000                  27                  27           75.000000
   Graphs/graph0.txt            2.000000            1.000000                  27                  27           75.000000
   Graphs/graph0.txt            2.000000            1.000000                  28                   7           93.518519
   Graphs/graph0.txt            2.000000            1.000000                  28                   7           93.518519
   Graphs/graph0.txt            2.000000            1.000000                  29                  13           87.962963
   Graphs/graph0.txt            2.000000            1.000000                  29                  13           87.962963
   Graphs/graph0.txt            2.000000            1.000000                  30                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                  30                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                  31                   2           98.148148
   Graphs/graph0.txt            2.000000            1.000000                  31                   2           98.148148
   Graphs/graph0.txt            2.000000            1.000000                  32                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  32                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  33                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  33                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  34                  12           88.888889
   Graphs/graph0.txt            2.000000            1.000000                  34                  12           88.888889
   Graphs/graph0.txt            2.000000            1.000000                  35                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  35                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  36                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  36                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  37                   4           96.296296
   Graphs/graph0.txt            2.000000            1.000000                  37                   4           96.296296
   Graphs/graph0.txt            2.000000            1.000000                  38                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  38                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  39                  12           88.888889
   Graphs/graph0.txt            2.000000            1.000000                  39                  12           88.888889
   Graphs/graph0.txt            2.000000            1.000000                  40                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                  40                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                  41                   4           96.296296
   Graphs/graph0.txt            2.000000            1.000000                  41                   4           96.296296
   Graphs/graph0.txt            2.000000            1.000000                  42                  13           87.962963
   Graphs/graph0.txt            2.000000            1.000000                  42                  13           87.962963
   Graphs/graph0.txt            2.000000            1.000000                  43                   9           91.666667
   Graphs/graph0.txt            2.000000            1.000000                  43                   9           91.666667
   Graphs/graph0.txt            2.000000            1.000000                  44                   4           96.296296
   Graphs/graph0.txt            2.000000            1.000000                  44                   4           96.296296
   Graphs/graph0.txt            2.000000            1.000000                  45                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                  45                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                  46                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                  46                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                  47                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                  47                   1           99.074074
   Graphs/graph0.txt            2.000000            1.000000                  48                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  48                   3           97.222222
   Graphs/graph0.txt            2.000000            1.000000                  49                   5           95.370370
   Graphs/graph0.txt            2.000000            1.000000                  49                   5           95.370370
   Graphs/graph0.txt            2.000000            1.000000                  50                   4           96.296296
   Graphs/graph0.txt            2.000000            1.000000                  50                   4           96.296296
   Graphs/graph0.txt            2.000000            1.000000                  51                   2           98.148148
   Graphs/graph0.txt            2.000000            1.000000                  51                   2           98.148148
   Graphs/graph0.txt            3.000000            1.000000                   0                 108            0.000000
   Graphs/graph0.txt            3.000000            1.000000                   0                 108            0.000000
   Graphs/graph0.txt            3.000000            1.000000                   1                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                   1                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                   2                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                   2                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                   3                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                   3                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                   4                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                   4                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                   5                   2           98.148148
   Graphs/graph0.txt            3.000000            1.000000                   5                   2           98.148148
   Graphs/graph0.txt            3.000000            1.000000                   6                   4           96.296296
   Graphs/graph0.txt            3.000000            1.000000                   6                   4           96.296296
   Graphs/graph0.txt            3.000000            1.000000                   7                   5           95.370370
   Graphs/graph0.txt            3.000000            1.000000                   7                   5           95.370370
   Graphs/graph0.txt            3.000000            1.000000                   8                   3           97.222222
   Graphs/graph0.txt            3.000000            1.000000                   8                   3           97.222222
   Graphs/graph0.txt            3.000000            1.000000                   9                   3           97.222222
   Graphs/graph0.txt            3.000000            1.000000                   9                   3           97.222222
   Graphs/graph0.txt            3.000000            1.000000                  10                   3           97.222222
   Graphs/graph0.txt            3.000000            1.000000                  10                   3           97.222222
   Graphs/graph0.txt            3.000000            1.000000                  11                   3           97.222222
   Graphs/graph0.txt            3.000000            1.000000                  11                   3           97.222222
   Graphs/graph0.txt            3.000000            1.000000                  12                   3           97.222222
   Graphs/graph0.txt            3.000000            1.000000                  12                   3           97.222222
   Graphs/graph0.txt            3.000000            1.000000                  13                   3           97.222222
   Graphs/graph0.txt            3.000000            1.000000                  13                   3           97.222222
   Graphs/graph0.txt            3.000000            1.000000                  14                   3           97.222222
   Graphs/graph0.txt            3.000000            1.000000                  14                   3           97.222222
   Graphs/graph0.txt            3.000000            1.000000                  15                   2           98.148148
   Graphs/graph0.txt            3.000000            1.000000                  15                   2           98.148148
   Graphs/graph0.txt            3.000000            1.000000                  16                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                  16                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                  17                   4           96.296296
   Graphs/graph0.txt            3.000000            1.000000                  17                   4           96.296296
   Graphs/graph0.txt            3.000000            1.000000                  18                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                  18                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                  19                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                  19                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                  20                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                  20                   1           99.074074
   Graphs/graph0.txt            3.000000            1.000000                  21                   2           98.148148
   Graphs/graph0.txt            3.000000            1.000000                  21                   2           98.148148
   Graphs/graph0.txt            3.000000            1.000000                  22                   4           96.296296
   Graphs/graph0.txt            3.000000            1.000000                  22                   4           96.296296
